0,изо
1,современный танец
2,театр
3,офп
4,гимнастика
5,самбо
6,настольный теннис
7,вокальный ансамбль
8,хореография
9,эстрадный танец
10,футбол
11,каратэ
12,дзюдо
13,шахматы
14,гитара
15,брейк-данс
16,аэробика
17,дизайн
18,рок
19,бодибилдинг
20,атлетизм
21,военно патриотический клуб
22,хоккей
23,хип-хоп
24,пение
25,фитенс
26,роспись по дереву
27,бокс
28,хор
29,акробатика
30,пауэрлифтинг
31,английский язык
32,тхэквондо
33,парусный спорт
34,туризм
35,импровизация
36,журналистика
37,лазертаг
38,плавание
39,бильярд
40,история
41,волейбол
42,программирование
43,блокчейн
44,искусственный интеллект
45,финансовые технологии
46,баскетбол
