skill_id,name
0,Логика
1,Коммуникативные навыки
2,Целеустремлённость
3,Самообладание
4,Внимательность к деталям
5,Тайм - менеджмент
6,Управляемость
7,Лидерство
8,Стратегическое мышление
9,Организаторские способности
10,Собственная эффективность 
11,Управление исполнением
12,"Ориентация на обучение и развитие, способность к наставничеству"
13,Аккуратность
14,Активность
15,Амбициозность
16,Вежливость
17,Внимательность
18,Дисциплинированность
19,Инициативность 
20,Исполнительность
21,Максимализм
22,Настойчивость
23,Находчивость
24,Обаяние
25,Порядочность
26,Принципиальность
27,Пунктуальность
28,Решительность
29,Самостоятельность
30,Скромность
31,Тактичность
32,Трудолюбие
33,Уравновешенность
34,Честность
35,Энергичность
36,Энтузиазм
